shipment_id,log_date,vehicle_id,driver_id,partner_contract,origin_city,destination_city,load_type,package_count,shipment_value_usd,planned_departure_datetime,actual_departure_datetime,planned_arrival_datetime,actual_arrival_datetime,miles_driven,fuel_consumed_gallons,delivery_status,on_time_status,notes
MAV20250411-001,2025-04-11,TRK-244,D1005,Hertz-Local,Miami_FL,Detroit_MI,FTL,622,104875.75,2025-04-11T08:45:00,2025-04-11T08:44:00,2025-04-11T17:28:31.354511,2025-04-11T19:26:31.354511,562.6,94.6,Delayed,Pending,Delay reason under investigation
MAV20250402-002,2025-04-02,TRK-206,D1088,Amazon-Prime,Philadelphia_PA,Atlanta_GA,FTL,125,8575.06,2025-04-02T12:30:00,2025-04-02T12:38:00,2025-04-02T17:50:36.657136,,371.8,53.7,In-Transit,Pending,Weather delay reported
MAV20250407-001,2025-04-07,TRK-127,D1198,Hertz-Local,NewOrleans_LA,LasVegas_NV,FTL,97,13943.52,2025-04-07T08:00:00,2025-04-07T08:27:00,2025-04-07T12:36:49.265238,2025-04-07T12:26:49.265238,177.4,26.1,Delivered,On-Time,
MAV20250429-002,2025-04-29,VAN-36,D1106,Amazon-Prime,Seattle_WA,Chicago_IL,LTL,40,6765.13,2025-04-29T09:15:00,2025-04-29T08:54:00,2025-04-29T11:54:45.436740,,41.0,4.8,Cancelled,N/A,
MAV20250409-001,2025-04-09,VAN-36,D1068,Enterprise-Corp,LosAngeles_CA,Boston_MA,LTL,41,7229.81,2025-04-09T17:45:00,2025-04-09T17:21:00,2025-04-09T19:49:45.842536,,126.1,23.2,Scheduled,Pending,
MAV20250412-002,2025-04-12,BOX-23,D1139,Budget-Airport,Boston_MA,Charlotte_NC,FTL,1017,186317.73,2025-04-12T07:15:00,2025-04-12T07:03:00,2025-04-12T12:03:07.710120,2025-04-12T12:03:07.710120,61.1,8.8,Delayed,Pending,Delay reason under investigation
MAV20250507-001,2025-05-07,VAN-36,D1012,Budget-Airport,Denver_CO,Orlando_FL,LTL,11,552.91,2025-05-07T14:15:00,2025-05-07T14:36:00,2025-05-07T17:03:14.973740,2025-05-07T16:07:14.973740,79.0,9.3,Delivered,On-Time,
MAV20250426-002,2025-04-26,TRK-229,D1054,Hertz-Local,Charlotte_NC,LosAngeles_CA,FTL,338,19843.2,2025-04-26T10:00:00,2025-04-26T09:36:00,2025-04-26T17:35:11.061230,,776.9,119.9,Scheduled,Pending,
MAV20250509-002,2025-05-09,VAN-14,D1197,DHL-Express,Indianapolis_IN,Columbus_OH,LTL,42,6344.05,2025-05-09T16:00:00,2025-05-09T16:08:00,2025-05-09T18:53:01.948130,,57.5,7.7,In-Transit,Pending,
MAV20250503-002,2025-05-03,VAN-14,D1034,Uhaul-Interstate,KansasCity_MO,Newark_NJ,LTL,15,1048.86,2025-05-03T08:15:00,2025-05-03T08:08:00,2025-05-03T12:00:36.055107,,84.9,10.5,Cancelled,N/A,
MAV20250406-002,2025-04-06,TRK-120,D1088,DHL-Express,Boston_MA,Denver_CO,FTL,705,79468.42,2025-04-06T07:00:00,2025-04-06T06:31:00,2025-04-06T17:40:50.687148,,580.9,87.7,Scheduled,Pending,
MAV20250420-004,2025-04-20,VAN-91,D1197,Hertz-Local,Phoenix_AZ,Chicago_IL,LTL,18,2995.16,2025-04-20T08:00:00,2025-04-20T08:02:00,2025-04-20T09:52:30.142536,,127.1,16.0,Scheduled,Pending,
MAV20250420-005,2025-04-20,VAN-32,D1139,Uhaul-Interstate,Detroit_MI,Columbus_OH,LTL,30,2272.86,2025-04-20T07:30:00,2025-04-20T07:25:00,2025-04-20T11:00:18.763423,2025-04-20T10:44:18.763423,68.1,8.7,Delivered,On-Time,
MAV20250407-002,2025-04-07,VAN-87,D1012,Hertz-Local,Minneapolis_MN,Chicago_IL,LTL,40,2778.06,2025-04-07T18:30:00,2025-04-07T18:22:00,2025-04-07T19:33:18.582556,2025-04-07T21:28:18.582556,111.3,18.6,Delivered,Late,
MAV20250426-003,2025-04-26,VAN-32,D1076,FedEx-Ground,Miami_FL,Atlanta_GA,LTL,45,5539.14,2025-04-26T06:30:00,2025-04-26T06:49:00,2025-04-26T10:28:39.405011,,59.2,11.5,Scheduled,Pending,Peak season volume
MAV20250406-003,2025-04-06,VAN-34,D1005,Budget-Airport,KansasCity_MO,Newark_NJ,LTL,25,4775.5,2025-04-06T16:45:00,2025-04-06T16:20:00,2025-04-06T20:29:06.639020,2025-04-06T20:57:06.639020,123.8,24.3,Delivered,Late,
MAV20250507-002,2025-05-07,TRK-244,D1012,Budget-Airport,Columbus_OH,Orlando_FL,FTL,1303,206227.15,2025-05-07T14:45:00,2025-05-07T15:00:00,2025-05-07T20:22:13.345780,2025-05-07T20:37:13.345780,576.0,83.7,Delivered,On-Time,
MAV20250425-001,2025-04-25,TRK-127,D1141,Budget-Airport,Newark_NJ,Orlando_FL,FTL,183,31188.97,2025-04-25T08:15:00,2025-04-25T08:24:00,2025-04-25T21:58:35.291406,,241.7,29.5,Scheduled,Pending,
MAV20250508-004,2025-05-08,VAN-14,D1049,DHL-Express,LosAngeles_CA,Newark_NJ,LTL,44,3923.44,2025-05-08T10:30:00,2025-05-08T10:22:00,2025-05-08T14:04:49.392897,,94.7,12.2,Scheduled,Pending,
MAV20250418-002,2025-04-18,TRK-316,D1031,Enterprise-Corp,Chicago_IL,Nashville_TN,FTL,400,68350.82,2025-04-18T17:30:00,2025-04-18T17:46:00,2025-04-19T06:44:00.519664,,57.3,8.2,In-Transit,Pending,Weather delay reported
MAV20250403-001,2025-04-03,BOX-28,D1197,FedEx-Ground,Houston_TX,Philadelphia_PA,FTL,511,83094.69,2025-04-03T14:45:00,2025-04-03T15:11:00,2025-04-04T01:09:20.431344,,298.2,38.4,Scheduled,Pending,
MAV20250421-001,2025-04-21,TRK-182,D1106,Hertz-Local,Denver_CO,Philadelphia_PA,FTL,1159,60255.0,2025-04-21T12:45:00,2025-04-21T13:13:00,2025-04-22T02:30:24.467184,2025-04-22T03:14:24.467184,307.1,41.9,Delayed,Pending,Delay reason under investigation
MAV20250410-003,2025-04-10,VAN-14,D1198,Amazon-Prime,Boston_MA,Denver_CO,LTL,27,2405.53,2025-04-10T15:00:00,2025-04-10T14:48:00,2025-04-10T17:23:36.523283,,128.6,15.8,Cancelled,N/A,
MAV20250418-003,2025-04-18,TRK-244,D1016,FedEx-Ground,LasVegas_NV,Orlando_FL,FTL,1434,218836.55,2025-04-18T13:30:00,2025-04-18T13:20:00,2025-04-18T18:47:40.750113,,517.0,62.1,In-Transit,Pending,
MAV20250411-002,2025-04-11,TRK-300,D1141,DHL-Express,Charlotte_NC,Houston_TX,FTL,262,49764.52,2025-04-11T08:30:00,2025-04-11T08:31:00,2025-04-11T16:29:44.793723,2025-04-11T17:38:44.793723,349.7,48.9,Delayed,Pending,Delay reason under investigation
MAV20250423-001,2025-04-23,VAN-36,D1076,Hertz-Local,Nashville_TN,Indianapolis_IN,LTL,21,2622.98,2025-04-23T06:15:00,2025-04-23T05:51:00,2025-04-23T08:29:17.392665,2025-04-23T10:10:17.392665,89.5,14.0,Delayed,Pending,Weather delay reported
MAV20250412-003,2025-04-12,TRK-182,D1001,Ryder-Logistics,LasVegas_NV,Minneapolis_MN,FTL,214,35898.13,2025-04-12T10:00:00,2025-04-12T10:09:00,2025-04-13T04:12:17.925574,,289.3,34.3,In-Transit,Pending,Minor loading delay
MAV20250423-002,2025-04-23,BOX-35,D1196,DHL-Express,Chicago_IL,LosAngeles_CA,FTL,364,68550.33,2025-04-23T14:30:00,2025-04-23T14:40:00,2025-04-23T23:34:53.152889,2025-04-23T22:41:53.152889,154.6,18.4,Delivered,On-Time,
MAV20250507-003,2025-05-07,TRK-145,D1060,Ryder-Logistics,Chicago_IL,Columbus_OH,FTL,1489,191182.28,2025-05-07T08:45:00,2025-05-07T08:22:00,2025-05-08T08:37:24.915329,2025-05-08T09:37:24.915329,590.1,112.1,Delayed,Pending,Delay reason under investigation
MAV20250507-004,2025-05-07,VAN-82,D1031,Ryder-Logistics,Philadelphia_PA,Minneapolis_MN,LTL,48,8842.57,2025-05-07T11:45:00,2025-05-07T11:54:00,2025-05-07T14:56:16.893924,,41.3,6.2,Scheduled,Pending,
MAV20250404-001,2025-04-04,VAN-91,D1068,FedEx-Ground,Boston_MA,Seattle_WA,LTL,42,2456.37,2025-04-04T06:45:00,2025-04-04T06:27:00,2025-04-04T10:27:37.765236,,21.9,4.2,Scheduled,Pending,Traffic on I-95
MAV20250503-003,2025-05-03,TRK-257,D1049,Ryder-Logistics,LasVegas_NV,NewOrleans_LA,FTL,788,45527.26,2025-05-03T13:45:00,2025-05-03T13:55:00,2025-05-04T01:30:14.073658,,275.9,45.1,Scheduled,Pending,
MAV20250417-003,2025-04-17,VAN-36,D1141,Amazon-Prime,Boston_MA,Orlando_FL,LTL,44,3528.66,2025-04-17T15:00:00,2025-04-17T14:37:00,2025-04-17T16:58:02.369206,,10.6,2.0,In-Transit,Pending,Peak season volume
MAV20250428-002,2025-04-28,BOX-35,D1016,Budget-Airport,NewOrleans_LA,LosAngeles_CA,FTL,890,152663.23,2025-04-28T06:45:00,2025-04-28T06:27:00,2025-04-28T11:20:37.666865,,179.2,32.9,In-Transit,Pending,Traffic on I-95
MAV20250409-002,2025-04-09,VAN-36,D1068,DHL-Express,Nashville_TN,NewOrleans_LA,LTL,19,3524.12,2025-04-09T06:15:00,2025-04-09T05:48:00,2025-04-09T09:46:05.860338,,83.5,10.6,Scheduled,Pending,
MAV20250413-001,2025-04-13,VAN-96,D1076,Hertz-Local,Orlando_FL,Newark_NJ,LTL,19,3605.03,2025-04-13T12:30:00,2025-04-13T12:08:00,2025-04-13T13:40:29.907350,2025-04-13T14:13:29.907350,30.5,5.8,Delayed,Pending,Delay reason under investigation
MAV20250417-004,2025-04-17,TRK-302,D1068,Uhaul-Interstate,Atlanta_GA,Boston_MA,FTL,1172,108737.28,2025-04-17T06:00:00,2025-04-17T06:28:00,2025-04-17T20:41:59.917940,,376.5,44.7,Cancelled,N/A,
MAV20250508-005,2025-05-08,TRK-215,D1186,Hertz-Local,NewOrleans_LA,Boston_MA,FTL,679,54659.82,2025-05-08T12:30:00,2025-05-08T12:00:00,2025-05-08T22:59:05.381536,2025-05-08T22:49:05.381536,265.3,34.8,Delivered,On-Time,
MAV20250503-004,2025-05-03,BOX-11,D1186,DHL-Express,Indianapolis_IN,Dallas_TX,FTL,169,28399.76,2025-05-03T14:15:00,2025-05-03T13:52:00,2025-05-04T00:35:43.308310,,773.8,149.2,In-Transit,Pending,Optimized route taken
MAV20250418-004,2025-04-18,TRK-244,D1196,Ryder-Logistics,Dallas_TX,Columbus_OH,FTL,60,4487.36,2025-04-18T17:45:00,2025-04-18T17:35:00,2025-04-19T03:01:00.715916,,80.3,11.1,Scheduled,Pending,
MAV20250412-004,2025-04-12,BOX-23,D1034,Enterprise-Corp,Seattle_WA,Nashville_TN,FTL,1217,180758.35,2025-04-12T16:30:00,2025-04-12T16:27:00,2025-04-12T22:48:48.375926,,228.4,30.4,Scheduled,Pending,
MAV20250504-001,2025-05-04,VAN-36,D1139,Budget-Airport,Indianapolis_IN,Charlotte_NC,LTL,30,4791.36,2025-05-04T09:00:00,2025-05-04T08:48:00,2025-05-04T12:24:25.958107,,122.3,17.6,In-Transit,Pending,
MAV20250412-005,2025-04-12,TRK-229,D1046,Uhaul-Interstate,Detroit_MI,SanFrancisco_CA,FTL,631,102932.46,2025-04-12T15:45:00,2025-04-12T16:10:00,2025-04-13T13:58:11.095925,,184.7,23.5,Cancelled,N/A,
MAV20250409-003,2025-04-09,TRK-300,D1060,FedEx-Ground,Seattle_WA,Nashville_TN,FTL,1081,123275.93,2025-04-09T06:15:00,2025-04-09T06:17:00,2025-04-09T14:59:48.943244,,543.7,77.3,Cancelled,N/A,
MAV20250404-002,2025-04-04,VAN-34,D1186,Enterprise-Corp,KansasCity_MO,Chicago_IL,LTL,12,890.14,2025-04-04T15:45:00,2025-04-04T15:31:00,2025-04-04T18:39:22.896073,,61.2,10.8,Cancelled,N/A,Mechanical issue resolved
MAV20250406-004,2025-04-06,TRK-215,D1005,Budget-Airport,Indianapolis_IN,Houston_TX,FTL,115,22955.08,2025-04-06T09:30:00,2025-04-06T09:07:00,2025-04-06T14:15:40.091651,2025-04-06T13:50:40.091651,322.9,44.0,Delayed,Pending,Delay reason under investigation
MAV20250419-001,2025-04-19,TRK-244,D1156,Uhaul-Interstate,Detroit_MI,Denver_CO,FTL,1425,170433.12,2025-04-19T17:00:00,2025-04-19T16:31:00,2025-04-19T21:57:58.604808,2025-04-19T23:56:58.604808,625.5,100.6,Delivered,Late,
MAV20250427-002,2025-04-27,VAN-91,D1122,Ryder-Logistics,SanFrancisco_CA,Houston_TX,LTL,17,2680.35,2025-04-27T08:15:00,2025-04-27T08:25:00,2025-04-27T11:39:43.245594,,118.4,14.7,Scheduled,Pending,Minor loading delay
MAV20250412-006,2025-04-12,TRK-229,D1139,Hertz-Local,Miami_FL,Seattle_WA,FTL,672,66302.62,2025-04-12T06:45:00,2025-04-12T06:43:00,2025-04-12T12:54:18.959810,,460.9,68.2,In-Transit,Pending,
MAV20250409-004,2025-04-09,BOX-44,D1139,Enterprise-Corp,Detroit_MI,Boston_MA,FTL,827,72099.7,2025-04-09T13:45:00,2025-04-09T14:08:00,2025-04-09T23:11:38.800376,,73.3,13.3,In-Transit,Pending,
MAV20250424-002,2025-04-24,BOX-35,D1156,Enterprise-Corp,SanFrancisco_CA,Minneapolis_MN,FTL,293,16635.52,2025-04-24T08:45:00,2025-04-24T08:47:00,2025-04-24T16:21:04.184864,,409.0,63.4,In-Transit,Pending,
MAV20250423-003,2025-04-23,BOX-28,D1031,Hertz-Local,Charlotte_NC,Houston_TX,FTL,828,99903.51,2025-04-23T16:15:00,2025-04-23T16:43:00,2025-04-23T23:16:28.386825,,579.3,81.7,Cancelled,N/A,
MAV20250404-003,2025-04-04,VAN-91,D1196,Uhaul-Interstate,LosAngeles_CA,Minneapolis_MN,LTL,29,5694.46,2025-04-04T09:45:00,2025-04-04T09:40:00,2025-04-04T12:42:55.280210,,88.4,15.5,In-Transit,Pending,Minor loading delay
MAV20250428-003,2025-04-28,BOX-23,D1197,DHL-Express,LasVegas_NV,Miami_FL,FTL,198,34199.73,2025-04-28T13:45:00,2025-04-28T13:36:00,2025-04-28T23:42:59.964222,,62.0,8.6,Scheduled,Pending,Peak season volume
MAV20250416-001,2025-04-16,VAN-87,D1067,Enterprise-Corp,Indianapolis_IN,Detroit_MI,LTL,40,6097.96,2025-04-16T08:15:00,2025-04-16T08:39:00,2025-04-16T11:41:40.673928,2025-04-16T12:35:40.673928,75.5,12.2,Delayed,Pending,Delay reason under investigation
MAV20250424-003,2025-04-24,TRK-145,D1076,Amazon-Prime,Baltimore_MD,Nashville_TN,FTL,658,74306.38,2025-04-24T18:00:00,2025-04-24T17:44:00,2025-04-25T03:20:07.264036,,392.2,51.6,In-Transit,Pending,
MAV20250425-002,2025-04-25,TRK-127,D1068,Amazon-Prime,Nashville_TN,NewOrleans_LA,FTL,351,39478.29,2025-04-25T18:15:00,2025-04-25T18:34:00,2025-04-25T23:52:04.863719,,113.7,15.6,Scheduled,Pending,
MAV20250409-005,2025-04-09,BOX-35,D1197,Enterprise-Corp,Denver_CO,Atlanta_GA,FTL,507,80993.46,2025-04-09T06:00:00,2025-04-09T06:00:00,2025-04-09T11:22:10.289636,,715.9,114.0,Cancelled,N/A,
MAV20250419-002,2025-04-19,TRK-215,D1067,Amazon-Prime,Phoenix_AZ,Indianapolis_IN,FTL,8,1087.82,2025-04-19T11:15:00,2025-04-19T10:59:00,2025-04-20T03:50:49.642350,,386.7,59.4,Cancelled,N/A,
MAV20250510-003,2025-05-10,VAN-95,D1001,Ryder-Logistics,Seattle_WA,Dallas_TX,LTL,15,1898.8,2025-05-10T16:15:00,2025-05-10T16:11:00,2025-05-10T17:25:19.020804,,143.4,17.9,Scheduled,Pending,Customer requested reschedule
MAV20250402-003,2025-04-02,TRK-206,D1034,FedEx-Ground,Newark_NJ,Minneapolis_MN,FTL,853,83825.37,2025-04-02T07:15:00,2025-04-02T07:01:00,2025-04-02T22:03:44.066004,,71.9,11.2,Scheduled,Pending,
MAV20250406-005,2025-04-06,TRK-145,D1197,FedEx-Ground,Charlotte_NC,Miami_FL,FTL,201,29596.25,2025-04-06T06:30:00,2025-04-06T06:08:00,2025-04-07T04:16:47.774835,2025-04-07T05:27:47.774835,70.6,8.6,Delivered,Late,
MAV20250401-001,2025-04-01,BOX-44,D1139,Budget-Airport,Denver_CO,NewOrleans_LA,FTL,1249,133112.72,2025-04-01T16:45:00,2025-04-01T16:52:00,2025-04-01T22:27:47.963351,,741.5,103.8,In-Transit,Pending,Optimized route taken
MAV20250420-006,2025-04-20,BOX-23,D1197,Enterprise-Corp,Chicago_IL,Dallas_TX,FTL,914,53316.37,2025-04-20T12:45:00,2025-04-20T13:14:00,2025-04-20T19:03:09.755343,,29.4,4.4,In-Transit,Pending,
MAV20250421-002,2025-04-21,VAN-82,D1122,Ryder-Logistics,LasVegas_NV,Columbus_OH,LTL,11,1471.49,2025-04-21T15:45:00,2025-04-21T16:00:00,2025-04-21T19:08:02.293775,,32.2,4.0,Scheduled,Pending,Minor loading delay
